cod_dane_mun,Departamento_ocurrencia,Municipio_ocurrencia,total_casos,pct_adolescentes,pct_hospit,pct_psiquia,casos_H1,casos_H2,pct_menores,pct_mujeres,pct_rural,tendencia_H2_H1,poblacion,tasa_x100k,tasa_x100k_norm,pct_adolescentes_norm,tendencia_H2_H1_norm,pct_hospit_norm,pct_psiquia_norm,IPI,nivel_prioridad,ranking_nacional
15690,BOYACA,SANTA MARIA,3,0.6666666666666666,0.3333333333333333,0.0,1,2,0.6666666666666666,0.3333333333333333,1.0,1.0,142000.0,2.112676056338028,0.008827769277793364,0.6666666666666666,1.0,0.3333333333333333,0.0,40.31,Media,71
70001,SUCRE,SINCELEJO,243,0.4279835390946502,0.7407407407407407,0.0205761316872428,121,122,0.448559670781893,0.7366255144032922,0.024691358024691357,0.008264462809917356,325000.0,74.76923076923077,0.3375148609322886,0.4279835390946502,0.5041322314049587,0.7407407407407407,0.0205761316872428,40.21,Media,72
50450,META,PUERTO CONCORDIA,6,1.0,1.0,0.0,4,2,1.0,1.0,0.5,-0.5,550000.0,1.0909090909090908,0.004205452495190926,1.0,0.25,1.0,0.0,40.15,Media,73
47692,MAGDALENA,SAN SEBASTIAN DE BUENAVISTA,8,0.625,0.75,0.0,3,5,0.625,0.75,0.125,0.6666666666666666,355000.0,2.2535211267605635,0.009464930739054354,0.625,0.8333333333333333,0.75,0.0,40.12,Media,74
68169,SANTANDER,CHARTA,2,1.0,0.5,0.0,1,1,1.0,1.0,1.0,0.0,292000.0,0.6849315068493151,0.0023688722732299263,1.0,0.5,0.5,0.0,40.08,Media,75
05819,ANTIOQUIA,TOLEDO,3,1.0,1.0,0.0,2,1,1.0,1.0,0.6666666666666666,-0.5,536250.0,0.5594405594405594,0.0018011705057054072,1.0,0.25,1.0,0.0,40.06,Media,76
86001,PUTUMAYO,MOCOA,39,0.28205128205128205,0.9487179487179487,0.0,18,21,0.3076923076923077,0.6153846153846154,0.23076923076923078,0.16666666666666666,52000.0,75.0,0.33855882548035465,0.28205128205128205,0.5833333333333334,0.9487179487179487,0.0,40.05,Media,77
08832,ATLANTICO,TUBARA,3,0.6666666666666666,0.3333333333333333,0.0,1,2,0.6666666666666666,0.6666666666666666,0.0,1.0,723333.0,0.4147467349063294,0.0011465978721081434,0.6666666666666666,1.0,0.3333333333333333,0.0,40.04,Media,78
13580,BOLIVAR,REGIDOR,2,1.0,0.5,0.0,1,1,1.0,1.0,0.0,0.0,620000.0,0.3225806451612903,0.0007296526411214539,1.0,0.5,0.5,0.0,40.03,Media,79
47745,MAGDALENA,SITIO NUEVO,9,0.5555555555555556,0.5555555555555556,0.0,3,6,0.5555555555555556,0.8888888888888888,0.0,1.0,355000.0,2.535211267605634,0.01073925366157633,0.5555555555555556,1.0,0.5555555555555556,0.0,39.82,Baja,80
86885,PUTUMAYO,VILLAGARZON,34,0.38235294117647056,0.6764705882352942,0.0,14,20,0.4117647058823529,0.38235294117647056,0.2647058823529412,0.42857142857142855,58500.0,58.11965811965812,0.26219475205700243,0.38235294117647056,0.7142857142857143,0.6764705882352942,0.0,39.79,Baja,81
63111,QUINDIO,BUENAVISTA,6,0.5,0.6666666666666666,0.0,2,4,0.5,0.6666666666666666,0.6666666666666666,1.0,195000.0,3.0769230769230766,0.013189874666426283,0.5,1.0,0.6666666666666666,0.0,39.63,Baja,82
23417,CORDOBA,LORICA,57,0.38596491228070173,0.47368421052631576,0.0,20,37,0.42105263157894735,0.8421052631578947,0.12280701754385964,0.85,135000.0,42.22222222222222,0.19027719430133916,0.38596491228070173,0.925,0.47368421052631576,0.0,39.55,Baja,83
25754,CUNDINAMARCA,SOACHA,651,0.2519201228878648,0.8341013824884793,0.0,337,314,0.27035330261136714,0.6605222734254992,0.0030721966205837174,-0.06824925816023739,660000.0,98.63636363636364,0.4454861034337896,0.2519201228878648,0.4658753709198813,0.8341013824884793,0.0,39.55,Baja,83
54001,NORTE SANTANDER,CUCUTA,620,0.30806451612903224,0.5580645161290323,0.0016129032258064516,266,354,0.32741935483870965,0.6516129032258065,0.004838709677419355,0.3308270676691729,760000.0,81.57894736842105,0.36832097268399294,0.30806451612903224,0.6654135338345865,0.5580645161290323,0.0016129032258064516,39.5,Baja,85
23815,CORDOBA,TUCHIN,6,0.5,0.6666666666666666,0.0,1,5,0.5,0.16666666666666666,0.8333333333333334,1.0,317500.0,1.889763779527559,0.007819348382411802,0.5,1.0,0.6666666666666666,0.0,39.44,Baja,86
27135,CHOCO,CANTON DE SAN PABLO (MANAGRU),4,0.75,1.0,0.0,2,2,0.75,0.75,0.75,0.0,130000.0,3.0769230769230766,0.013189874666426283,0.75,0.5,1.0,0.0,39.21,Baja,87
25486,CUNDINAMARCA,NEMOCON,21,0.5714285714285714,0.3333333333333333,0.0,7,14,0.5714285714285714,0.6666666666666666,0.23809523809523808,1.0,232000.0,9.051724137931034,0.040218956787332553,0.5714285714285714,1.0,0.3333333333333333,0.0,39.03,Baja,88
73001,TOLIMA,IBAGUE,552,0.22826086956521738,0.8695652173913043,0.009057971014492754,281,271,0.2427536231884058,0.6358695652173914,0.03804347826086957,-0.03558718861209965,590000.0,93.5593220338983,0.4225183471849911,0.22826086956521738,0.4822064056939502,0.8695652173913043,0.009057971014492754,38.93,Baja,89
20750,CESAR,SAN DIEGO,12,0.5,0.5833333333333334,0.0,4,8,0.5,0.75,0.25,1.0,327500.0,3.66412213740458,0.01584627300756135,0.5,1.0,0.5833333333333334,0.0,38.89,Baja,90
05088,ANTIOQUIA,BELLO,592,0.22635135135135134,0.49493243243243246,0.03209459459459459,285,307,0.22804054054054054,0.6402027027027027,0.02533783783783784,0.07719298245614035,545000.0,108.62385321100916,0.49066797194093076,0.22635135135135134,0.5385964912280702,0.49493243243243246,0.03209459459459459,38.87,Baja,91
19585,CAUCA,PURACE,7,0.5714285714285714,0.42857142857142855,0.0,2,5,0.5714285714285714,0.8571428571428571,0.42857142857142855,1.0,354000.0,1.9774011299435028,0.008215806292401456,0.5714285714285714,1.0,0.42857142857142855,0.0,38.86,Baja,92
27077,CHOCO,BAJO BAUDO (PIZARRO),9,0.6666666666666666,0.1111111111111111,0.0,3,6,0.7777777777777778,0.7777777777777778,0.1111111111111111,1.0,130000.0,6.923076923076923,0.030589283800860956,0.6666666666666666,1.0,0.1111111111111111,0.0,38.85,Baja,93
08001,ATLANTICO,BARRANQUILLA,1006,0.3399602385685885,0.7296222664015904,0.048707753479125246,500,506,0.3667992047713718,0.6550695825049702,0.0,0.012,1280000.0,78.59375,0.35481639839034207,0.3399602385685885,0.506,0.7296222664015904,0.048707753479125246,38.82,Baja,94
25815,CUNDINAMARCA,TOCAIMA,38,0.6842105263157895,0.5,0.02631578947368421,16,22,0.6842105263157895,0.6052631578947368,0.05263157894736842,0.375,232000.0,16.379310344827587,0.07336783108655724,0.6842105263157895,0.6875,0.5,0.02631578947368421,38.69,Baja,95
15180,BOYACA,CHISCAS,3,0.3333333333333333,1.0,0.0,1,2,0.6666666666666666,0.3333333333333333,0.6666666666666666,1.0,142000.0,2.112676056338028,0.008827769277793364,0.3333333333333333,1.0,1.0,0.0,38.64,Baja,96
23001,CORDOBA,MONTERIA,463,0.326133909287257,0.5831533477321814,0.01511879049676026,233,230,0.3542116630669546,0.6846652267818575,0.08423326133909287,-0.012875536480686695,500000.0,92.6,0.4181785216795277,0.326133909287257,0.49356223175965663,0.5831533477321814,0.01511879049676026,38.64,Baja,96
13810,BOLIVAR,TIQUISIO (PUERTO RICO),9,0.5555555555555556,0.4444444444444444,0.0,3,6,0.5555555555555556,0.5555555555555556,0.1111111111111111,1.0,620000.0,1.4516129032258065,0.005837221128971631,0.5555555555555556,1.0,0.4444444444444444,0.0,38.54,Baja,98
73770,TOLIMA,SUAREZ,3,0.3333333333333333,1.0,0.0,1,2,0.3333333333333333,1.0,0.3333333333333333,1.0,222667.0,1.347303372300341,0.005365340835621415,0.3333333333333333,1.0,1.0,0.0,38.52,Baja,99
73870,TOLIMA,VILLAHERMOSA,3,0.3333333333333333,1.0,0.0,1,2,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,222667.0,1.347303372300341,0.005365340835621415,0.3333333333333333,1.0,1.0,0.0,38.52,Baja,99
73024,TOLIMA,ALPUJARRA,3,0.3333333333333333,1.0,0.0,1,2,0.3333333333333333,1.0,0.3333333333333333,1.0,222667.0,1.347303372300341,0.005365340835621415,0.3333333333333333,1.0,1.0,0.0,38.52,Baja,99
25154,CUNDINAMARCA,CARMEN DE CARUPA,3,0.3333333333333333,1.0,0.0,1,2,0.3333333333333333,1.0,0.0,1.0,232000.0,1.293103448275862,0.005120148705800547,0.3333333333333333,1.0,1.0,0.0,38.51,Baja,102
